,Atrial,AVC,EMP,OFT,SV,Ventricle
Serinc2,0.003142756,0.00044241,0.003967846,0.002571714,0.005406756,0.001257527
Gm10570,0.00083457,0,0,0,0.000788761,0.001141384
Fabp3,1.472681583,1.966804786,0.4710294,0.759033368,0.321137531,1.705118132
Zcchc17,0.953111779,0.86450268,1.085629422,0.88872653,0.979372387,1.02311509
Snrnp40,1.176973377,1.13900551,2.262713716,1.500703492,1.946785569,1.402664798
Nkain1,0.0122967,0.006790716,0.021461989,0.016392821,0.028837524,0.015059506
Pum1,0.515249564,0.588543859,0.64408861,0.77826201,0.816387774,0.576331586
Gm12971,0.00786378,0.006076957,0.002825689,0.007800845,0.007547818,0.005901173
Gm12972,0,0,0,0,0.00060369,0
Sdc3,0.026564358,0.025172094,0.018472164,0.039041978,0.019126077,0.0399509
