,Endocardial/Endothelial,Epicardium,Lateral Plate Mesoderm,Multipotent Progenitors,Myocardium,Neural Crest,Paraxial Mesoderm
Ptgfr,0.010623355,0.012265318,0.010183944,0.019932826,0.023862736,0.0071888,0.095236034
Gipc2,0.09799612,0.021148113,0.019838871,0.029679136,0.025706352,0.004480914,0.021079928
Gm16198,0.001707172,0.001063624,0,0.000418431,0.000408997,0.001426706,0.000472992
ENSMUSG00000054747,0.004976965,0.000457497,0,0.000318956,0.000482426,0.000695428,0.000223188
Dnajb4,0.182476888,0.204769617,0.092104057,0.128582721,0.246408986,0.083385678,0.091494423
Fubp1,3.506475388,4.263740001,3.50982625,4.761153846,2.586226062,4.946784535,4.864079502
Nexn,0.121908486,0.468954332,0.824696195,0.409277579,5.056457562,0.038227087,0.053022839
Fam73a,0.071270178,0.103457213,0.089342116,0.106680951,0.1213027,0.064838641,0.091907305
Usp33,0.151153373,0.170734446,0.18223052,0.156912201,0.123730943,0.134422971,0.135314676
Zzz3,0.370156331,0.451482457,0.470977468,0.446930487,0.381484928,0.400336504,0.433065739
Ak5,0.001763061,0.084688008,0.056104226,0.013827439,0.00354954,0.004451309,0.001038777
AC116720.1,0,0.003569956,0.001743905,0.000339524,0.000270557,0,0
Pigk,0.338569757,0.425323491,0.322593016,0.231166432,0.260363529,0.281070563,0.174351809
St6galnac5,0.012384093,0.022815344,0.014545064,0.012849439,0.001662315,0.004987291,0.018153374
St6galnac3,0.009644087,0.001898854,0.001232288,0.002366296,0.000900569,0.003847934,0.002826529
5730460C07Rik,0.041515147,0.00071324,0,0.000177878,0.002666356,0,0
Asb17,0.000432773,0.000343769,0,0.000516777,0.002959124,0.000997532,0.001421979
2510003D18Rik,0.00010546,0,0,2.68E-05,0.000402191,0,0.000575973
Msh4,0,0,0,0,0.000252431,0.000131409,0
Rabggtb,0.915164298,0.906598019,0.733327922,0.714812513,1.053443473,0.812970496,0.729171188
Acadm,0.443803286,0.401382239,0.506610474,0.331733309,1.01182833,0.299689097,0.361101791
Slc44a5,0.003148787,0.006732109,0.000931305,0.003153751,0.00162013,0.000779709,0.003454293
Gm3076,0.000961156,0,0,0.000441977,0.000926799,0.000528819,0.000431141
Lhx8,0.000433227,0.000469399,0.060727024,0.001177754,0.001305782,0.055665317,0.002352804
AI606473,0.000249576,0,0,9.70E-05,8.91E-05,0.000311037,0
Tyw3,0.107478451,0.145408335,0.141215724,0.138797418,0.100141332,0.184529236,0.148419374
Cryz,0.144622333,0.171188647,0.141237098,0.199251718,0.083446366,0.226055562,0.218034609
4922501L14Rik,0.000496943,0,0,0.000447623,0.000228199,0.000298837,0
BC007180,0,0.000524775,0,0.000425412,3.14E-05,0,0.000235272
Tnni3k,0.000579167,0.002035009,0.000675757,0.001228377,0.02533819,0.000154103,0
Fpgt,0.023868612,0.035910638,0.033258594,0.042195055,0.033915123,0.029262731,0.045479602
Lrriq3,0.00294562,0.003914745,0.001044474,0.001353938,0.002295772,0.001524838,0.001663775
4930570G19Rik,0.000242312,0.00116837,0,0.000260343,0.000287526,0.000594608,0.000420826
Negr1,0.004870171,0.009626288,0.000393755,0.003920471,0.005839093,0.003219232,0.00295076
Gm15578,0,0,0,0.00014141,0.000142486,0,0
Gm15577,0,0,0,0,0.000150026,0,0
Zranb2,1.665653874,2.071112018,1.558718966,2.151230705,1.800673562,2.223304282,2.16339081
Ptger3,0.002932106,0.082418773,0.023015899,0.002359953,0.001871881,0.007062462,0.001099939
Cth,0.096302143,0.233593155,0.114707065,0.258494019,0.062741688,0.503665795,0.263245616
1810013D15Rik,0.000862858,0.001396144,0.001697742,0.004907358,0.001077778,0.007651685,0.006828301
Ankrd13c,0.111022579,0.100205809,0.119349966,0.079736132,0.094417467,0.085399497,0.088556027
Srsf11,3.587206065,3.981373803,3.118475361,4.206799564,3.020796449,4.403719795,3.917394781
Lrrc40,0.316441923,0.421028489,0.385088789,0.381561321,0.331796764,0.42083442,0.377953782
Lrrc7,0,0.000812757,0,0.000309014,0.001530662,0,0
Depdc1a,0.345653136,0.331990199,0.316618099,0.34012293,0.323847933,0.290389487,0.366984382
Wls,0.73404773,2.105524529,1.943962469,1.487478637,1.287663276,0.680047143,1.748282517
AI838599,0.000924112,0.016559727,0.008671852,0.00389836,0.002866551,0.000116824,0.00452269
Gm11783,0,0,0.000883404,0.000276377,8.81E-05,0.000232199,0.000365929
Tmem68,0.204759657,0.196122136,0.161159521,0.163719057,0.187598529,0.145636369,0.154933295
Tgs1,0.923660647,1.001617779,0.690986779,0.959473001,0.762101136,0.969825198,0.979362673
Lyn,0.287582349,0.038398631,0.145799819,0.031327213,0.127430719,0.053279342,0.032608159
AL772401.1,0.000510268,0,0,0.000176156,0.000130054,0,0
